CV,Norm_Type,Intercept_Type,best_alphas,best_R2s,best_R2s_test,best_MSEs,mean_CVscores,std_CVscores
CV_3,FALSE,FALSE,0.01,0.73466,0.64765,0.05505,0.70116,0.05375
CV_3,FALSE,TRUE,0.01,0.83404,0.80719,0.03012,0.82056,0.02064
CV_3,TRUE,FALSE,0.01,0.73466,0.64765,0.05505,0.70116,0.05375
CV_3,TRUE,TRUE,0.01,0,-0.01689,0.15887,0.11887,0.04611
CV_5,FALSE,FALSE,0.01,0.73466,0.64765,0.05505,0.70861,0.05201
CV_5,FALSE,TRUE,0.01,0.83404,0.80719,0.03012,0.8237,0.03266
CV_5,TRUE,FALSE,0.01,0.73466,0.64765,0.05505,0.70861,0.05201
CV_5,TRUE,TRUE,0.01,0,-0.01689,0.15887,0.03997,0.03028
CV_10,FALSE,FALSE,0.01,0.73466,0.64765,0.05505,0.69927,0.07316
CV_10,FALSE,TRUE,0.01,0.83404,0.80719,0.03012,0.81986,0.03422
CV_10,TRUE,FALSE,0.01,0.73466,0.64765,0.05505,0.69927,0.07316
CV_10,TRUE,TRUE,0.01,0,-0.01689,0.15887,-0.01202,0.02565
CV_31,FALSE,FALSE,0.01,0.73466,0.64765,0.05505,0.68557,0.10776
CV_31,FALSE,TRUE,0.01,0.83404,0.80719,0.03012,0.80619,0.08086
CV_31,TRUE,FALSE,0.01,0.73466,0.64765,0.05505,0.68557,0.10776
CV_31,TRUE,TRUE,5,0,-0.01689,0.15887,-0.04973,0.0696
