CV,Norm_Type,Intercept_Type,best_alphas,best_R2s,best_R2s_test,best_MSEs,mean_CVscores,std_CVscores
CV_3,False,False,0.39,0.94788,0.86306,0.0214,0.85409,0.00845
CV_3,False,True,5.0,0.94955,0.89691,0.01611,0.89975,0.00681
CV_3,True,False,0.39,0.94788,0.86306,0.0214,0.85409,0.00845
CV_3,True,True,0.34,0.94303,0.88388,0.01814,0.90136,0.00756
CV_5,False,False,0.29,0.95007,0.86303,0.0214,0.86933,0.01278
CV_5,False,True,4.22,0.9506,0.89718,0.01606,0.91114,0.00993
CV_5,True,False,0.29,0.95007,0.86303,0.0214,0.86933,0.01278
CV_5,True,True,0.21,0.94765,0.88419,0.01809,0.90674,0.01105
CV_10,False,False,0.41,0.9474,0.86299,0.0214,0.86788,0.02527
CV_10,False,True,3.24,0.95206,0.89738,0.01603,0.9103,0.0214
CV_10,True,False,0.41,0.9474,0.86299,0.0214,0.86788,0.02527
CV_10,True,True,0.16,0.94963,0.88408,0.01811,0.90611,0.01845
CV_31,False,False,0.41,0.9474,0.86299,0.0214,0.86824,0.05031
CV_31,False,True,3.45,0.95174,0.89736,0.01604,0.90692,0.04225
CV_31,True,False,0.41,0.9474,0.86299,0.0214,0.86824,0.05031
CV_31,True,True,0.16,0.94963,0.88408,0.01811,0.90056,0.04172
